Recipe Public Food Key,Food Name,Total Weight Change (%),Public Food Key,Ingredient Weight (g),Retention Factor ID
F001513,"Bread, from white flour, extra grainy & seeds",0.0,F001919,1.0,358
F001513,"Bread, from white flour, extra grainy & seeds",0.0,F001929,2.0,358
F001513,"Bread, from white flour, extra grainy & seeds",0.0,F009535,2.0,301
F001513,"Bread, from white flour, extra grainy & seeds",0.0,F001463,85.0,0
F001514,"Bread, from white flour, extra grainy & seeds, toasted",-15.0,F001513,100.0,306
F001368,"Bread roll, mixed grain, toasted",-15.0,F001365,100.0,306
F001672,"Bread, from white flour, Turkish, toasted",-16.0,F001671,100.0,306
F001458,"Bread, from wheat flour, added dried fruit, toasted",-10.0,F001457,100.0,306
F001600,"Bread, garlic or herb, commercial, cooked",-5.0,F001353,82.0,306
F001600,"Bread, garlic or herb, commercial, cooked",-5.0,F007879,0.2,0
F001600,"Bread, garlic or herb, commercial, cooked",-5.0,F006322,0.3,3001
F001600,"Bread, garlic or herb, commercial, cooked",-5.0,F001973,15.0,5019
F001600,"Bread, garlic or herb, commercial, cooked",-5.0,F004193,3.0,3771
F001601,"Bread, garlic or herb, homemade, cooked",-5.0,F001973,10.0,5019
F001601,"Bread, garlic or herb, homemade, cooked",-5.0,F001353,85.0,301
F001601,"Bread, garlic or herb, homemade, cooked",-5.0,F004193,5.0,3771
F001609,"Bread, gluten free, toasted",-16.0,F001603,100.0,306
F001451,"Bread, from rye flour, sour dough, toasted",-15.0,F001450,100.0,306
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F009527,26.0,0
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F008976,9.3,0
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F009606,1.0,0
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F004006,50.0,301
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F006155,4.0,5019
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F005712,12.0,251
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F001971,1.5,5019
F001939,"Bun, sweet, with dried fruit, iced",-2.0,F007878,0.7,0
F005898,"Muffin, English style, from white flour, toasted",-8.0,F005896,100.0,306
F005897,"Muffin, English style, from white flour, added dried fruit, toasted",0.0,F005898,85.7,0
F005897,"Muffin, English style, from white flour, added dried fruit, toasted",0.0,F005712,14.0,0
F005897,"Muffin, English style, from white flour, added dried fruit, toasted",0.0,F002963,0.3,0
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F000248,5.0,0
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F002980,18.0,0
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F008976,210.0,0
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F003729,96.0,101
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F007879,1.5,0
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F004007,140.0,301
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F006116,55.0,2201
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F009351,4.75,0
F008272,"Slice, brownie, chocolate, with nuts, homemade",-8.0,F001973,125.0,5019
F002102,"Cake, carrot, homemade, uniced",-12.0,F008976,262.5,0
F002102,"Cake, carrot, homemade, uniced",-12.0,F003729,144.0,101
F002102,"Cake, carrot, homemade, uniced",-12.0,F004009,210.0,301
F002102,"Cake, carrot, homemade, uniced",-12.0,F000248,3.0,0
F002102,"Cake, carrot, homemade, uniced",-12.0,F002963,3.0,0
F002102,"Cake, carrot, homemade, uniced",-12.0,F004210,1.0,0
F002102,"Cake, carrot, homemade, uniced",-12.0,F006116,55.0,2201
F002102,"Cake, carrot, homemade, uniced",-12.0,F002276,350.0,3451
F002102,"Cake, carrot, homemade, uniced",-12.0,F008983,72.0,251
F002102,"Cake, carrot, homemade, uniced",-12.0,F001973,150.0,5019
F002101,"Cake, carrot, homemade, iced",0.0,F002102,80.0,0
F002101,"Cake, carrot, homemade, iced",0.0,F008981,13.1,0
F002101,"Cake, carrot, homemade, iced",0.0,F009351,1.4,0
F002101,"Cake, carrot, homemade, iced",0.0,F001973,2.7,0
F002101,"Cake, carrot, homemade, iced",0.0,F009527,2.8,0
F002112,"Cake, chocolate, homemade, uniced",-10.0,F004009,200.0,301
F002112,"Cake, chocolate, homemade, uniced",-10.0,F008976,100.0,0
F002112,"Cake, chocolate, homemade, uniced",-10.0,F003729,102.0,101
F002112,"Cake, chocolate, homemade, uniced",-10.0,F002980,50.0,0
F002112,"Cake, chocolate, homemade, uniced",-10.0,F005634,125.0,2152
F002112,"Cake, chocolate, homemade, uniced",-10.0,F001973,120.0,5019
F002111,"Cake, chocolate, homemade, iced",0.0,F002112,80.0,0
F002111,"Cake, chocolate, homemade, iced",0.0,F008981,13.1,0
F002111,"Cake, chocolate, homemade, iced",0.0,F002980,1.0,0
F002111,"Cake, chocolate, homemade, iced",0.0,F001973,2.7,0
F002111,"Cake, chocolate, homemade, iced",0.0,F009527,2.8,0
F002150,"Cake, fruit, homemade, uniced",0.0,F000050,160.0,0
F002150,"Cake, fruit, homemade, uniced",0.0,F004739,131.0,270
F002150,"Cake, fruit, homemade, uniced",0.0,F004009,33.75,301
F002150,"Cake, fruit, homemade, uniced",0.0,F004007,202.5,301
F002150,"Cake, fruit, homemade, uniced",0.0,F003729,150.0,101
F002150,"Cake, fruit, homemade, uniced",0.0,F001973,200.0,5019
F002150,"Cake, fruit, homemade, uniced",0.0,F003496,160.0,251
F002150,"Cake, fruit, homemade, uniced",0.0,F005712,1000.0,251
F002150,"Cake, fruit, homemade, uniced",0.0,F006081,42.5,2203
F002150,"Cake, fruit, homemade, uniced",0.0,F000248,2.268,0
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F008976,75.0,0
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F004007,45.0,301
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F003729,260.0,101
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F002921,300.0,0
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F009351,5.0,0
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F000247,5.0,0
F002165,"Cake, mud, dark chocolate, homemade, uniced",-2.0,F001973,250.0,5019
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing",0.0,F002921,15.0,0
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing",0.0,F003270,5.0,0
F002164,"Cake, mud, dark chocolate, homemade, chocolate ganache icing",0.0,F002165,80.0,0
F002171,"Cake, plain butter cake, homemade, uniced",-10.0,F001973,125.0,5019
F002171,"Cake, plain butter cake, homemade, uniced",-10.0,F008976,160.0,0
F002171,"Cake, plain butter cake, homemade, uniced",-10.0,F003729,110.0,101
F002171,"Cake, plain butter cake, homemade, uniced",-10.0,F004009,300.0,301
F002171,"Cake, plain butter cake, homemade, uniced",-10.0,F005634,125.0,2152
F002171,"Cake, plain butter cake, homemade, uniced",-10.0,F007879,0.4,0
F002170,"Cake, plain butter cake, homemade, iced",0.0,F002171,80.0,0
F002170,"Cake, plain butter cake, homemade, iced",0.0,F008981,13.1,0
F002170,"Cake, plain butter cake, homemade, iced",0.0,F009351,1.4,0
F002170,"Cake, plain butter cake, homemade, iced",0.0,F001973,2.7,0
F002170,"Cake, plain butter cake, homemade, iced",0.0,F009527,2.8,0
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream",-12.0,F003270,12.5,0
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream",-12.0,F004600,12.5,0
F002177,"Cake, sponge, plain, commercial, uniced, filled with jam & cream",-12.0,F002178,75.0,0
F003575,"Doughnut, jam filled, sugar coated",0.0,F003573,90.0,0
F003575,"Doughnut, jam filled, sugar coated",0.0,F004600,10.0,0
F006298,"Pancake, plain, homemade",-16.0,F003729,48.0,103
F006298,"Pancake, plain, homemade",-16.0,F004007,140.0,304
F006298,"Pancake, plain, homemade",-16.0,F001973,18.0,5019
F006298,"Pancake, plain, homemade",-16.0,F005634,250.0,2151
F007507,"Pudding, chocolate, homemade",-12.0,F009527,375.0,0
F007507,"Pudding, chocolate, homemade",-12.0,F008976,225.0,0
F007507,"Pudding, chocolate, homemade",-12.0,F004009,200.0,301
F007507,"Pudding, chocolate, homemade",-12.0,F002980,25.0,0
F007507,"Pudding, chocolate, homemade",-12.0,F001973,10.0,5019
F007507,"Pudding, chocolate, homemade",-12.0,F005634,375.0,2153
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F005712,500.0,255
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F003331,150.0,255
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F008983,150.0,255
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F003248,150.0,255
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F000050,95.0,0
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F008969,200.0,0
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F003729,204.0,101
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F004009,180.0,302
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F006118,1.3,0
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F002963,1.3,0
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F004210,1.3,0
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F001541,250.0,302
F007512,"Pudding, plum, steamed or boiled, homemade",1.0,F001973,250.0,5019
F007529,"Pudding, sticky date, homemade",-12.0,F000248,4.5,0
F007529,"Pudding, sticky date, homemade",-12.0,F003496,170.0,251
F007529,"Pudding, sticky date, homemade",-12.0,F009527,300.0,0
F007529,"Pudding, sticky date, homemade",-12.0,F008976,170.0,0
F007529,"Pudding, sticky date, homemade",-12.0,F003729,96.0,101
F007529,"Pudding, sticky date, homemade",-12.0,F004009,170.0,301
F007529,"Pudding, sticky date, homemade",-12.0,F008969,200.0,0
F007529,"Pudding, sticky date, homemade",-12.0,F009351,2.4,0
F007529,"Pudding, sticky date, homemade",-12.0,F003270,120.0,2153
F007529,"Pudding, sticky date, homemade",-12.0,F001973,190.0,5019
F008174,"Scone, plain, homemade",-14.0,F004009,500.0,301
F008174,"Scone, plain, homemade",-14.0,F008976,28.0,0
F008174,"Scone, plain, homemade",-14.0,F007879,0.4,0
F008174,"Scone, plain, homemade",-14.0,F003729,25.0,101
F008174,"Scone, plain, homemade",-14.0,F005634,321.25,2152
F008174,"Scone, plain, homemade",-14.0,F001973,70.0,5019
F008172,"Scone, fruit, commercial",0.0,F008173,73.0,0
F008172,"Scone, fruit, commercial",0.0,F005712,26.5,0
F008172,"Scone, fruit, commercial",0.0,F006118,0.5,0
F008176,"Scone, pumpkin, homemade",-14.0,F004009,325.0,301
F008176,"Scone, pumpkin, homemade",-14.0,F008976,35.0,0
F008176,"Scone, pumpkin, homemade",-14.0,F003729,50.0,101
F008176,"Scone, pumpkin, homemade",-14.0,F005634,102.0,2152
F008176,"Scone, pumpkin, homemade",-14.0,F001971,40.0,5019
F008176,"Scone, pumpkin, homemade",-14.0,F007554,150.0,3451
F008278,"Slice, caramel",0.0,F004007,135.0,301
F008278,"Slice, caramel",0.0,F008969,100.0,0
F008278,"Slice, caramel",0.0,F002987,23.0,2203
F008278,"Slice, caramel",0.0,F005582,400.0,2152
F008278,"Slice, caramel",0.0,F009049,56.0,0
F008278,"Slice, caramel",0.0,F002921,150.0,0
F008278,"Slice, caramel",0.0,F006165,9.0,5019
F008278,"Slice, caramel",0.0,F001973,185.0,5019
F001918,"Buckwheat groats, cooked in water, no added salt",-5.0,F009527,750.0,0
F001918,"Buckwheat groats, cooked in water, no added salt",-5.0,F001919,190.0,302
F007156,"Porridge, rolled oats, prepared with regular fat cows milk",-11.0,F006143,35.0,352
F007156,"Porridge, rolled oats, prepared with regular fat cows milk",-11.0,F005634,192.0,2151
F000378,"Barley, pearl, boiled, no added fat or salt",-56.5,F000379,220.0,302
F000378,"Barley, pearl, boiled, no added fat or salt",-56.5,F009527,1000.0,0
F003227,"Cornmeal (polenta), boiled, no added fat or salt",-5.0,F003230,325.0,302
F003227,"Cornmeal (polenta), boiled, no added fat or salt",-5.0,F009527,750.0,0
F003235,"Couscous, boiled, no added fat or salt",0.0,F003239,100.0,302
F003235,"Couscous, boiled, no added fat or salt",0.0,F009527,125.0,0
F005690,"Millet, boiled, no added fat or salt",-13.0,F005692,200.0,302
F005690,"Millet, boiled, no added fat or salt",-13.0,F009527,500.0,0
F007164,"Porridge, rolled oats, prepared with water",-30.0,F006143,124.0,352
F007164,"Porridge, rolled oats, prepared with water",-30.0,F009527,832.5,0
F007598,"Quinoa, uncooked",0.0,F007599,60.0,0
F007598,"Quinoa, uncooked",0.0,F007597,30.0,0
F007598,"Quinoa, uncooked",0.0,F007593,10.0,0
F007596,"Quinoa, cooked in water, no added salt",-5.0,F009527,500.0,0
F007596,"Quinoa, cooked in water, no added salt",-5.0,F007598,180.0,302
F008220,"Semolina, boiled, no added fat or salt",-5.0,F009527,750.0,0
F008220,"Semolina, boiled, no added fat or salt",-5.0,F008222,325.0,302
F008744,"Spelt, boiled, no added fat or salt",-56.5,F008745,220.0,0
F008744,"Spelt, boiled, no added fat or salt",-56.5,F009527,1000.0,0
F009089,"Tapioca, pearl or seed style, boiled, no added fat or salt",0.0,F009090,170.0,0
F009089,"Tapioca, pearl or seed style, boiled, no added fat or salt",0.0,F009527,1000.0,0
F007639,"Rice paper wrapper, soaked in water",0.0,F003998,45.0,0
F007639,"Rice paper wrapper, soaked in water",0.0,F009527,53.0,0
F007639,"Rice paper wrapper, soaked in water",0.0,F007879,2.0,0
F003998,"Flour, rice",0.0,F007682,50.0,0
F003998,"Flour, rice",0.0,F007648,50.0,0
F004013,"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",0.0,F004008,96.9,0
F004013,"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",0.0,F000248,3.1,0
F004389,"Hot dog, bread roll, frankfurt & sauce filling",0.0,F004025,57.0,0
F004389,"Hot dog, bread roll, frankfurt & sauce filling",0.0,F008083,14.0,0
F004389,"Hot dog, bread roll, frankfurt & sauce filling",0.0,F001463,75.0,0
F006054,"Noodle, wheat, instant, flavoured, boiled, undrained",0.0,F006053,144.5,0
F006054,"Noodle, wheat, instant, flavoured, boiled, undrained",0.0,F009527,240.5,0
F006445,"Pasta, white wheat flour & egg, dry",-6.0,F003729,3.5,0
F006445,"Pasta, white wheat flour & egg, dry",-6.0,F004007,95.5,0
F006445,"Pasta, white wheat flour & egg, dry",-6.0,F009527,1.0,0
F005146,"Lasagne, beef, homemade",-5.0,F006458,16.0,380
F005146,"Lasagne, beef, homemade",-5.0,F002414,3.0,3
F005146,"Lasagne, beef, homemade",-5.0,F002479,1.0,3
F005146,"Lasagne, beef, homemade",-5.0,F002472,3.0,3
F005146,"Lasagne, beef, homemade",-5.0,F008032,55.0,0
F005146,"Lasagne, beef, homemade",-5.0,F008090,22.0,2154
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",-5.0,F003270,40.0,2151
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",-5.0,F005634,60.0,2151
F005259,"Macaroni & cheese, homemade, cooked unfilled pasta, homemade cheese sauce",-5.0,F002414,15.0,7
