Product ID,Product Name,Land Use (m2/FU) (5th pctl),Land Use (m2/FU) (10th pctl),Land Use (m2/FU) (Mean),Land Use (m2/FU) (Median),Land Use (m2/FU) (90th pctl),Land Use (m2/FU) (95th pctl),GHG Emissions (kg CO2eq/FU) (5th pctl),GHG Emissions (kg CO2eq/FU) (10th pctl),GHG Emissions (kg CO2eq/FU) (Mean),GHG Emissions (kg CO2eq/FU) (Median),GHG Emissions (kg CO2eq/FU) (90th pctl),GHG Emissions (kg CO2eq/FU) (95th pctl),Acidifying Emissions (g SO2eq/FU) (5th pctl),Acidifying Emissions (g SO2eq/FU) (10th pctl),Acidifying Emissions (g SO2eq/FU) (Mean),Acidifying Emissions (g SO2eq/FU) (Median),Acidifying Emissions (g SO2eq/FU) (90th pctl),Acidifying Emissions (g SO2eq/FU) (95th pctl),Eutrophying Emissions (g PO43-eq/FU) (5th pctl),Eutrophying Emissions (g PO43-eq/FU) (10th pctl),Eutrophying Emissions (g PO43-eq/FU) (Mean),Eutrophying Emissions (g PO43-eq/FU) (Median),Eutrophying Emissions (g PO43-eq/FU) (90th pctl),Eutrophying Emissions (g PO43-eq/FU) (95th pctl),Freshwater Withdrawals (L/FU) (5th pctl),Freshwater Withdrawals (L/FU) (10th pctl),Freshwater Withdrawals (L/FU) (Mean),Freshwater Withdrawals (L/FU) (Mean).1,Freshwater Withdrawals (L/FU) (90th pctl),Freshwater Withdrawals (L/FU) (95th pctl),Stress-Weighted Water Use (L/FU) (5th pctl),Stress-Weighted Water Use (L/FU) (10th pctl),Stress-Weighted Water Use (L/FU) (Mean),Stress-Weighted Water Use (L/FU) (Median),Stress-Weighted Water Use (L/FU) (90th pctl),Stress-Weighted Water Use (L/FU) (95th pctl)
24,Brassicas,0.19,0.19,0.55,0.34,0.8,2.3,0.2,0.23,0.51,0.35,0.97,1.24,3.91,4.53,8.21,8.77,10.76,11.33,1.22,1.55,5.01,5.66,7.78,8.11,0,0,119.4,54.5,253.2,641.6,0,0,8455.1,2483.4,19799.1,60920.7
25,Other Vegetables,0.17,0.17,0.38,0.19,0.77,1.07,0.21,0.24,0.53,0.42,0.98,1.14,2.64,2.88,6.41,3.69,6.62,9.69,0.86,1.07,2.27,1.8,2.47,4.93,56.4,56.4,102.5,81.3,168.2,359.6,899.6,2568.2,4911.4,2939.5,11097.8,14549.2
26,Citrus Fruit,0.29,0.35,0.86,0.68,1.75,1.75,0.01,0.08,0.37,0.34,0.57,0.67,2.19,2.62,4.04,3.75,6.01,6.19,0.31,0.33,2.24,1.72,6.48,6.48,0,0,82.7,37.4,185.3,244.7,0,0,4662.7,1345.5,17560.6,21646.7
27,Bananas,0.22,0.28,1.93,1.39,2.99,9.44,0.55,0.61,0.86,0.83,1.19,1.3,4.1,4.48,6.35,6.09,8.56,9.96,1.54,1.72,3.29,2.13,5.84,6.43,0,0.4,114.5,1,320.2,376.2,0,0.6,661.9,31.3,1479.6,4675.5
28,Apples,0.3,0.31,0.63,0.51,0.99,1.02,0.26,0.29,0.42,0.41,0.56,0.59,1.81,2.05,3.52,3.96,4.47,4.59,0.38,0.47,1.45,1.96,2.03,2.05,0,0.7,180.1,114.5,584.8,584.8,0,26.4,12948.6,1024.7,52971.7,52971.7
29,Berries & Grapes,0.23,0.25,2.41,2.58,6.85,6.86,0.65,0.78,1.52,1.39,2.67,2.89,4.13,4.76,12.29,6.94,38.74,39.38,0.62,0.67,6.12,0.95,17.42,17.42,133.8,133.8,419.6,403.5,1026.6,1026.7,325.2,7866.5,21162.1,16245.1,43004.5,43006.5
30,Wine,0.86,0.86,1.78,1.64,2.76,3.48,0.66,0.84,1.76,1.57,2.65,4.68,8.78,9.02,12.76,10.86,23.91,32.04,0.48,2.22,4.57,3.75,10.27,12.38,1.6,1.6,78.9,4.5,327.6,349.2,6.8,29,1149.3,60.4,1739.3,1865.2
31,Other Fruit,0.21,0.21,0.89,0.92,1.42,1.85,0.27,0.34,1.06,0.72,2.91,2.93,3.22,3.58,5.78,5.36,8.11,9.02,0.83,1.03,2.43,2.05,4.24,5.17,0,0,153.5,3.5,701,797.6,0,0,9533.1,4.7,19158.3,76052.4
32,Coffee,8.3,8.44,21.62,11.9,40.28,40.66,4.47,5.2,27.65,8.17,83.99,84.82,52.08,52.68,83.14,87.24,105.67,106.4,40.59,41.11,110.52,49.89,270.26,272.24,10.4,10.4,25.9,33.3,38.4,38.6,8,8,337,340.7,813.1,819
33,Dark Chocolate,21.57,34.7,68.96,53.83,123.26,144.66,-3.63,-0.07,46.28,4.95,132.78,252.42,6.03,6.4,46.3,29.01,123.04,167.14,3.47,4.52,87.08,67.26,237.46,238.11,6.7,7,540.6,24.9,68.3,264.9,9.3,73.3,2879.2,220.3,1623.4,5913.7
34,Bovine Meat (beef herd),70.41,82.84,326.21,170.37,735.09,910.1,30.76,33.03,85.19,51.72,179.95,241.98,59.78,76.08,318.83,270.87,656.91,683.48,101.81,113.38,301.41,320.69,412.83,657.89,215.6,268.6,1451.2,740.2,2585.5,5241.3,204.6,242.1,34732.5,441.2,89872.1,190796.3
35,Bovine Meat (dairy herd),12.27,14.39,43.24,25.94,64.12,106.37,12.78,15.75,28.79,28.87,45.04,49.88,165.22,219.02,343.64,289.14,497.23,1099.17,79.78,81.38,365.29,140.93,1515.69,2509.42,187.7,191.8,2714.3,2614.2,5799.4,8744,42174.7,46308.5,119805.2,122176.8,181962.6,214220.5
36,Lamb & Mutton,47.85,60.06,369.81,127.41,442.34,724.65,20.54,21.25,32.71,32.99,43.21,50.51,79.19,81.79,138.97,135.16,149.78,273.61,21.95,24.64,97.13,101.92,128.72,133.36,88,97.8,1802.8,461.2,7133.3,7825.8,258.9,258.9,141925,258.9,540906.4,595278
37,Pig Meat,7.39,7.76,17.36,13.44,31.11,34.09,6.58,7,11.54,9.82,21.42,23.02,63.23,68.98,142.66,114.8,434.05,469.04,29.47,31.64,76.38,53.53,219.71,237.55,82.9,87.6,1795.8,1810.3,3315.4,3555.6,51,53.5,66867.4,54242.7,134395.4,152329.6
38,Poultry Meat,6.46,6.65,12.22,11.01,16.02,20.4,3.84,4.07,9.82,7.82,19.93,20.69,39.88,43.09,102.42,64.66,192.75,197.05,22.69,25.01,48.7,34.53,101.46,101.46,18.9,19.2,660,370.3,1661.7,1694.1,21,21.2,14177.9,333.5,49726.9,66044.8
39,Milk,0.8,1.11,8.95,2.1,9.3,32.19,1.31,1.48,2.84,2.33,4.51,7.05,6.58,8,20.01,20.64,31.84,35.15,2.9,3.04,10.65,10.71,18.63,21.21,18.6,19.3,628.2,197.3,2592.5,2663.7,200.5,207.6,19786.3,9776.4,79193.2,81420.9
40,Cheese,7.86,9.55,87.79,20.18,239.21,323.45,8.45,9.4,21.44,16.16,36.59,57.35,45.57,57.6,165.54,173.01,267.23,304.81,26.31,29.51,98.37,99.5,167.85,192.25,158.4,178.2,5605.2,1559.3,23448.5,25756.3,1738,1930.1,180850.6,80463.1,718942.3,790842
41,Eggs,4.25,4.38,6.27,5.71,8.79,8.81,2.77,2.85,4.6,4.2,8.34,8.45,20.26,21.4,53.67,54.17,78.13,78.29,11.97,14.31,21.76,21.25,31.63,33.58,139.4,139.8,577.7,632.9,965.4,1033.2,409.6,412.6,17982.7,18621,36531.8,38758.9
42,Fish (farmed),0.3,0.82,8.41,5.6,10.5,26.26,5.36,5.58,12.51,7.64,24.99,30.73,34.71,34.75,65.91,40.23,108.81,193.21,58.34,70.81,235.12,243.64,365.69,420.92,604.4,1116.9,3691.3,1580.5,10472.5,12189.7,5510.9,5600.7,41572.2,8483.4,122598.2,133853.1
43,Crustaceans (farmed),0.6,0.61,2.97,0.82,5.19,5.2,7.37,8.04,23.99,14.68,46.94,96.55,48.96,57.62,133.07,107.05,307.15,393.49,61.9,70.87,227.22,141.31,703.81,900.4,653.7,662.8,3515.4,1207.8,4387.9,28905.1,22997.6,23508,127259,48737.6,134116.9,984747.3
